LOCATION,SUBURB,Reason Code,Audit Date,Start_Lat,Start_Lng,End_Lat,End_Lng
Frankston-Flinders Road,SOMERVILLE,ABCD,2024-09-01 00:00:00,-38.2271735,145.1788701,-38.2271735,145.1788701
Frankston-Flinders Road,TYABB,ABCD,2024-09-01 00:00:00,-38.2700009,145.1897843,-38.2700009,145.1897843
Frankston-Flinders Road,FRANKSTON SOUTH,ABCD,T,-38.1766179,145.1388221,-38.1766179,145.1388221
Frawley Road,HALLAM,ABC,2024-04-01 00:00:00,-37.9997494,145.2586998,-37.9997494,145.2586998
Fryers Road,HIGHTON,BCD,2024-08-01 00:00:00,-38.1852534,144.3164683,-38.1857358,144.3205462
Fullarton Road,KEILOR PARK,BCD,2024-06-01 00:00:00,-37.72642,144.8588433,-37.72642,144.8588433
Fulton Road,BLACKBURN SOUTH,ACD,2024-06-01 00:00:00,-37.8425543,145.1431128,-37.8425543,145.1431128
Furlong Road,ST ALBANS,BCD,2024-05-02 00:00:00,-37.7596272,144.8060633,-37.7596272,144.8060633
Furlong Road,SUNSHINE NORTH,BCD,2024-06-01 00:00:00,-37.7616268,144.8229372,-37.7616268,144.8229372
Fyansford-Gheringhap Road,GHERINGHAP,BC,2024-08-01 00:00:00,-38.0934804,144.2491004,-38.0934804,144.2491004
Gaffney Street,PASCOE VALE,C,2024-08-01 00:00:00,-37.7315036,144.9384725,-37.7315036,144.9384725
Gallaghers Road,GLEN WAVERLEY,C,2024-06-01 00:00:00,-37.88321,145.1775512,-37.88321,145.1775512
Gap Road,SUNBURY,ABC,2024-08-01 00:00:00,-37.5774335,144.7001749,-37.5775486,144.7013198
Garden Road,CLAYTON,ABC,2024-06-01 00:00:00,-37.917915,145.1469663,-37.917915,145.1469663
Garden Street,PORTLAND,C,T,-38.3319956,141.5973179,-38.3319956,141.5973179
Gardenia Street,HORSHAM,AC,2024-10-01 00:00:00,-36.7195613,142.1928257,-36.7195613,142.1928257
Garnett Road,WHEELERS HILL,ACD,2024-06-01 00:00:00,-37.9174542,145.1999144,-37.9174542,145.1999144
Gateshead Drive,WANTIRNA SOUTH,BCD,2024-07-01 00:00:00,-37.865461,145.2384533,-37.865461,145.2384533
Gayview Drive,WODONGA WEST,ABCD,2024-10-01 00:00:00,-36.1230164,146.8545074,-36.1230164,146.8545074
Gear Avenue,MOUNT HELEN,BC,2024-08-01 00:00:00,-37.6298815,143.8967799,-37.6298815,143.8967799
Geelong Road,BANNOCKBURN,ABCD,2024-08-01 00:00:00,-38.0465394,144.1868583,-38.0465394,144.1868583
Geelong Road,BROOKLYN,ABCD,T,-37.8184712,144.8426373,-37.8184712,144.8426373
Geelong-Bacchus Marsh Road,BACCHUS MARSH,C,2024-08-01 00:00:00,-37.6929724,144.442917,-37.7572229,144.4415607
Geelong-Bacchus Marsh Road,BALLIANG EAST,C,2024-08-01 00:00:00,-37.7946004,144.4142493,-37.7946004,144.4142493
Geelong-Ballan Road,BALLAN,ABC,2024-08-01 00:00:00,-37.6296681,144.2145816,-37.6296681,144.2145816
Geelong-Ballan Road,BEREMBOKE,ABC,2024-08-01 00:00:00,-37.7878463,144.2143096,-37.7878463,144.2143096
Geelong-Ballan Road,MOUNT WALLACE,ABC,2024-08-01 00:00:00,-37.7339248,144.2180064,-37.7339248,144.2180064
George Street,SANDRINGHAM,AC,2024-03-01 00:00:00,-37.9591116,145.0288954,-37.9591116,145.0288954
George Street,DONCASTER,C,2024-01-01 00:00:00,-37.7787058,145.1331218,-37.7787058,145.1331218
George Street,HAMILTON,C,2024-10-01 00:00:00,-37.7455669,142.0343551,-37.7455669,142.0343551
Gibsons Road,SALE,C,2023-12-01 00:00:00,-38.0827654,147.0871117,-38.0827654,147.0871117
Gilbert Road,RESERVOIR,ABCD,2024-08-01 00:00:00,-37.7235022,144.9925502,-37.7235022,144.9925502
Gilbert Road,PRESTON,BCD,2024-02-01 00:00:00,-37.7390117,144.9899297,-37.7390117,144.9899297
Gillespie Road,KINGS PARK,BCD,2024-06-01 00:00:00,-37.7333323,144.772267,-37.7333323,144.772267
Gillies Road,BALD HILLS,ABCD,2024-08-01 00:00:00,-37.4457568,143.8405056,-37.4457568,143.8405056
Gillies Road,MOUNT ROWAN,BC,2024-02-01 00:00:00,-37.4982076,143.8301084,-37.4982076,143.8301084
Gillies Road,ASCOT,BC,2024-08-01 00:00:00,-37.401619,143.8492323,-37.401619,143.8492323
